sku,title,category,price,mrp,discount_pct,currency,rating,review_count,availability,competitor_name,product_url,scraped_at
AMZ-B0F2Z2TRK9,"Fire-Boltt Talk Round Smart Watch 1.39″ TFT Display with Bluetooth Calling, Dual Button, Voice Assistance, SPO₂ & Heart Rate Monitor, 120+ Sports Modes, Smartwatch for Men & Women - Green",Smartwatch,999.0,11999.0,91.7,INR,3.5,0,In Stock,Amazon India,,2026-08-26T05:32:35.697179+00:00
AMZ-B0CMF25TKG,"Fire‑Boltt Rise Smart Watch 1.85″ HD Display with Bluetooth Calling, AI Voice Assistant, Rotating Crown,SpO2 & Heart Rate Monitor, 120+ Sports Modes,IP67 Waterproof Smart Watch for Men & Women - Black",Smartwatch,1499.0,11999.0,87.5,INR,3.9,0,In Stock,Amazon India,,2026-08-26T05:32:35.737184+00:00
AMZ-B0BF57RN3K,"Fire-Boltt Ninja Call Pro Plus Bluetooth Calling Smart Watch, 1.83″ HD Display, AI Voice Assistant, 120+ Sports Modes, IP67 Waterproof, SpO2 & Heart Rate Monitor Smartwatch for Men & Women - Black",Smartwatch,1399.0,19999.0,93.0,INR,3.9,0,In Stock,Amazon India,,2026-08-26T05:32:35.767295+00:00
